Threads = 1n[2.40878
, 2.38112
, 2.38913
, 2.37951
, 2.39584
, 2.37832
, 2.37669
, 2.38450
, 2.37928
, 2.37992
, 2.38075
, 2.38024
, 2.37723
, 2.38030
, 2.40839
, 2.38729
, 2.37844
, 2.39879
, 2.37872
, 2.37954
, 2.37673
, 2.37898
, 2.38465
, 2.38495
, 2.37668
, 2.38402
, 2.37807
, 2.37645
, 2.38672
, 2.38182
]nnThreads = 6n[0.54408
, 0.43709
, 0.44886
, 0.43746
, 0.45304
, 0.45355
, 0.43709
, 0.43741
, 0.43733
, 0.46340
, 0.44894
, 0.45196
, 0.45095
, 0.44102
, 0.48079
, 0.46638
, 0.46746
, 0.43695
, 0.45218
, 0.46388
, 0.45596
, 0.45062
, 0.43678
, 0.44905
, 0.45008
, 0.45112
, 0.43689
, 0.45860
, 0.43778
, 0.44520
]nnThreads = 12n[0.35008
, 0.35080
, 0.35003
, 0.35012
, 0.35010
, 0.35202
, 0.34928
, 0.35137
, 0.35071
, 0.34847
, 0.34997
, 0.34902
, 0.34832
, 0.35001
, 0.35126
, 0.35039
, 0.35067
, 0.34975
, 0.35101
, 0.34946
, 0.34977
, 0.35056
, 0.35046
, 0.34982
, 0.35070
, 0.35088
, 0.34890
, 0.35021
, 0.34876
, 0.41664
]nnThreads = 18n[0.37304
, 0.36874
, 0.36573
, 0.36888
, 0.36792
, 0.36357
, 0.36640
, 0.35073
, 0.36184
, 0.35826
, 0.44107
, 0.36915
, 0.40184
, 0.37193
, 0.37259
, 0.45217
, 0.35311
, 0.36621
, 0.36261
, 0.36855
, 0.35707
, 0.36484
, 0.37384
, 0.37558
, 0.36688
, 0.36472
, 0.44799
, 0.37057
, 0.35671
, 0.36067
]nnThreads = 24n[0.34891
, 0.36439
, 0.36028
, 0.35146
, 0.35396
, 0.37016
, 0.35647
, 0.35415
, 0.35685
, 0.42542
, 0.35178
, 0.36591
, 0.35998
, 0.34893
, 0.34567
, 0.36386
, 0.35959
, 0.35089
, 0.36013
, 0.36450
, 0.35736
, 0.35961
, 0.35418
, 0.35157
, 0.36023
, 0.34632
, 0.36993
, 0.37365
, 0.35828
, 0.35766
]nn
